iter	Passed	Remaining
623	1776	1070
624	1778	1067
625	1781	1064
626	1783	1060
627	1785	1057
628	1788	1054
629	1790	1051
630	1792	1048
631	1794	1045
632	1796	1041
633	1798	1038
634	1801	1035
635	1803	1032
636	1805	1029
637	1808	1025
638	1810	1022
639	1812	1019
640	1815	1016
641	1817	1013
642	1819	1010
643	1822	1007
644	1824	1004
645	1825	1000
646	1828	997
647	1830	994
648	1832	990
649	1834	987
650	1836	984
651	1839	981
652	1841	978
653	1843	975
654	1845	972
655	1848	969
656	1849	965
657	1851	962
658	1854	959
659	1856	956
660	1858	953
661	1860	949
662	1862	946
663	1865	943
664	1867	940
665	1869	937
666	1871	934
667	1873	931
668	1876	928
669	1878	925
670	1880	922
671	1882	918
672	1885	915
673	1887	912
674	1889	909
675	1891	906
676	1894	903
677	1896	900
678	1898	897
679	1900	894
680	1903	891
681	1905	888
682	1907	885
683	1910	882
684	1912	879
685	1914	876
686	1917	873
687	1919	870
688	1921	867
689	1923	864
690	1925	861
691	1928	858
692	1931	855
693	1933	852
694	1936	849
695	1938	846
696	1941	843
697	1946	842
698	1948	839
699	1950	836
700	1953	833
701	1955	830
702	1958	827
703	1960	824
704	1963	821
705	1965	818
706	1968	815
707	1970	812
708	1973	809
709	1975	806
710	1977	803
711	1980	800
712	1982	797
713	1984	795
714	1987	792
715	1989	789
716	1991	786
717	1993	783
718	1996	780
719	1998	777
720	2000	774
721	2002	771
722	2005	768
723	2007	765
724	2009	762
725	2011	759
726	2014	756
727	2016	753
728	2018	750
729	2020	747
730	2022	744
731	2025	741
732	2027	738
733	2029	735
734	2031	732
735	2033	729
736	2036	726
737	2038	723
738	2040	720
739	2042	717
740	2044	714
741	2047	711
742	2049	708
743	2051	705
744	2053	702
745	2055	699
746	2057	697
747	2060	694
748	2062	691
749	2064	688
750	2066	685
751	2068	682
752	2071	679
753	2073	676
754	2076	673
755	2078	670
756	2080	667
757	2083	665
758	2085	662
759	2087	659
760	2090	656
761	2092	653
762	2094	650
763	2096	647
764	2099	644
765	2101	641
766	2103	639
767	2105	636
768	2107	633
769	2110	630
770	2113	627
771	2115	624
772	2117	621
773	2119	618
774	2121	616
775	2124	613
776	2126	610
777	2129	607
778	2131	604
779	2134	602
780	2136	599
781	2139	596
782	2142	593
783	2144	590
784	2147	588
785	2149	585
786	2152	582
787	2154	579
788	2157	576
789	2159	574
790	2162	571
791	2165	568
792	2167	565
793	2169	562
794	2172	560
795	2175	557
796	2177	554
797	2179	551
798	2182	548
799	2184	546
800	2186	543
801	2188	540
802	2191	537
803	2193	534
804	2195	531
805	2198	529
806	2200	526
807	2202	523
808	2204	520
809	2207	517
810	2210	515
811	2212	512
812	2214	509
813	2216	506
814	2219	503
815	2221	500
816	2223	498
817	2226	495
818	2228	492
819	2230	489
820	2232	486
821	2235	483
822	2237	481
823	2240	478
824	2242	475
825	2244	472
826	2246	469
827	2248	467
828	2250	464
829	2253	461
830	2256	458
831	2259	456
832	2261	453
833	2263	450
834	2265	447
835	2267	444
836	2270	442
837	2272	439
838	2274	436
839	2277	433
840	2279	430
841	2281	428
842	2283	425
843	2286	422
844	2288	419
845	2290	416
846	2293	414
847	2295	411
848	2296	408
849	2299	405
850	2301	402
851	2303	400
852	2305	397
853	2308	394
854	2310	391
855	2312	389
856	2315	386
857	2317	383
858	2320	380
859	2322	378
860	2325	375
861	2327	372
862	2330	369
863	2332	367
864	2335	364
865	2337	361
866	2340	358
867	2342	356
868	2344	353
869	2347	350
870	2350	348
871	2353	345
872	2355	342
873	2357	339
874	2360	337
875	2363	334
876	2366	331
877	2368	329
878	2371	326
879	2373	323
880	2375	320
881	2378	318
882	2381	315
883	2383	312
884	2385	310
885	2388	307
886	2390	304
887	2393	301
888	2395	299
889	2397	296
890	2399	293
891	2402	290
892	2404	288
893	2406	285
894	2409	282
895	2411	279
896	2414	277
897	2416	274
898	2418	271
899	2420	268
900	2423	266
901	2426	263
902	2428	260
903	2430	258
904	2433	255
905	2435	252
906	2437	249
907	2440	247
908	2442	244
909	2444	241
910	2447	239
911	2449	236
912	2451	233
913	2453	230
914	2456	228
915	2458	225
916	2460	222
917	2463	220
918	2465	217
919	2468	214
920	2470	211
921	2473	209
922	2475	206
923	2477	203
924	2479	201
925	2482	198
926	2484	195
927	2487	192
928	2489	190
929	2491	187
930	2493	184
931	2496	182
932	2498	179
933	2500	176
934	2503	174
935	2505	171
936	2508	168
937	2510	165
938	2513	163
939	2515	160
940	2518	157
941	2520	155
942	2523	152
943	2525	149
944	2527	147
945	2530	144
946	2533	141
947	2535	139
948	2538	136
949	2540	133
950	2543	131
951	2545	128
952	2548	125
953	2551	123
954	2553	120
955	2556	117
956	2558	114
957	2561	112
958	2564	109
959	2567	106
960	2569	104
961	2571	101
962	2574	98
963	2576	96
964	2579	93
965	2581	90
966	2584	88
967	2586	85
968	2588	82
969	2590	80
970	2592	77
971	2595	74
972	2598	72
973	2600	69
974	2602	66
975	2605	64
976	2607	61
977	2609	58
978	2612	56
979	2614	53
980	2616	50
981	2619	48
982	2621	45
983	2624	42
984	2626	40
985	2629	37
986	2631	34
987	2633	31
988	2636	29
989	2638	26
990	2641	23
991	2643	21
992	2645	18
993	2648	15
994	2650	13
995	2652	10
996	2654	7
997	2657	5
998	2659	2
999	2661	0
